tau_c,xi,T2,T2_echo,echo_gain,echo_gain_err,method_used,T2_echo_used
3.409390999157174e-09,0.0300026407925831,3.6915967314262935e-06,5.461646139445459e-06,1.4794807062621071,7.350209187107561e-15,fallback_fitting,5.461646139445459e-06
3.874648995044649e-09,0.0340969111563929,3.2778482917745177e-06,4.8371759264719085e-06,1.4757168410174415,8.27794905090075e-15,fallback_fitting,4.8371759264719085e-06
4.403397802866204e-09,0.0387499006652225,2.864239525434768e-06,4.261527002620992e-06,1.487838906201159,0.07439194531005813,fallback_fitting,4.261527002620992e-06
5.004301611600169e-09,0.0440378541820814,2.5350856667994555e-06,4.596022659987854e-06,1.487838906201159,0.07439194531005798,fallback_fitting,4.596022659987854e-06
5.687206957219141e-09,0.0500474212235284,2.238700601661649e-06,4.049705115154066e-06,1.2,0.06,fallback_fitting,4.049705115154066e-06
6.463304070095662e-09,0.0568770758168418,1.9551404736416117e-06,3.5660205022966444e-06,1.2,9.135913910461521e-15,fallback_fitting,3.5660205022966444e-06
7.345310240466691e-09,0.0646387301161068,1.711688804797367e-06,3.1438505584143195e-06,1.2,1.0362960067412675e-14,fallback_fitting,3.1438505584143195e-06
8.34767820662138e-09,0.0734595682182681,1.5219028951956329e-06,2.766826632296406e-06,1.2,1.1791543491770703e-14,fallback_fitting,2.766826632296406e-06
9.486832980505142e-09,0.0834841302284452,1.3332624000184742e-06,2.443229427980546e-06,1.2,1.333454586428349e-14,fallback_fitting,2.443229427980546e-06
1.078144099141388e-08,0.0948766807244421,1.16840813411437e-06,2.156498338107484e-06,1.2,1.5089085489465333e-14,fallback_fitting,2.156498338107484e-06
1.2252715958023556e-08,0.1078239004306073,1.033032203562604e-06,1.9054460191033115e-06,1.2,1.7077141281092325e-14,fallback_fitting,1.9054460191033115e-06
1.3924766500838351e-08,0.1225379452073775,9.215972205196768e-07,1.6867298417636566e-06,1.2,1.9285477252584003e-14,fallback_fitting,1.6867298417636566e-06
1.5824991191107866e-08,0.1392599224817492,8.194747187966478e-07,1.495030891035635e-06,1.2,2.1758325516519863e-14,fallback_fitting,1.495030891035635e-06
1.798452750956823e-08,0.1582638420842004,7.337465058973341e-07,6.128742151300555e-07,1.2,5.307587484154963e-14,fallback_fitting,6.128742151300555e-07
2.0438762071738832e-08,0.1798611062313017,6.574891089217021e-07,5.758263286646909e-07,1.2,3.864853131834174e-16,fallback_fitting,5.758263286646909e-07
2.322791048043384e-08,0.2044056122278178,5.94196446814037e-07,5.085153576665636e-07,1.1798611062313018,4.204759366705665e-16,fallback_fitting,5.085153576665636e-07
2.639767630707323e-08,0.2322995515022444,5.323134203393943e-07,4.542483864951282e-07,1.2149962203403277,0.06074981101701647,fallback_fitting,4.542483864951282e-07
3.000000000000001e-08,0.264,4.811877107503447e-07,4.143287065162679e-07,1.2149962203403277,2.384524078709248e-13,fallback_fitting,4.143287065162679e-07
3.4977432035394954e-08,0.3078014019114755,4.295748881490669e-07,3.770547518079647e-07,1.0349117366666971,7.439767890104847e-14,fallback_fitting,3.770547518079647e-07
4.078069172635582e-08,0.3588700871919312,3.820149608111721e-07,3.626240965122267e-07,1.0349117366666971,0.05174558683333485,fallback_fitting,3.626240965122267e-07
4.754679577383345e-08,0.4184118028097343,3.4678359209711057e-07,3.588904095447362e-07,1.0349117366666971,7.816165330664427e-14,fallback_fitting,3.588904095447362e-07
5.543549392266874e-08,0.4878323465194849,3.1787852727693116e-07,3.5776704218193434e-07,1.1254835148718707,4.685956745679744e-16,fallback_fitting,3.5776704218193434e-07
6.46330407009565e-08,0.5687707581684172,2.9476233813300285e-07,3.5724531777597705e-07,1.211977486807628,5.44180392264715e-16,fallback_fitting,3.5724531777597705e-07
7.535659294528749e-08,0.6631380179185299,2.790029286654772e-07,3.569088644383675e-07,6.0,2.2769463871915687e-15,direct_measurement,1.674017571992863e-06
8.785933693875717e-08,0.773162165061063,2.6375934093036105e-07,3.594376119810936e-07,6.0,2.4085391940998723e-15,direct_measurement,1.5825560455821662e-06
1.0243646621500809e-07,0.901440902692071,2.043230046402475e-07,3.65831038629894e-07,6.0,3.4978148960963232e-15,direct_measurement,1.2259380278414848e-06
1.1943215116604913e-07,1.0510029302612325,1.8989712037982785e-07,3.713853632355181e-07,6.0,7.527065685001661e-15,direct_measurement,1.1393827222789672e-06
1.3924766500838354e-07,1.2253794520737749,1.7057838965845378e-07,3.784904171984762e-07,6.0,0.3000000000000004,direct_measurement,1.0234703379507228e-06
1.623508579639392e-07,1.428687550082665,1.5536873883602077e-07,3.864171817508241e-07,6.0,6.133229070403989e-15,direct_measurement,9.322124330161246e-07
1.8928720334405797e-07,1.66572738942771,1.4283337474406897e-07,3.9518615737991515e-07,6.0,4.447662960978275e-15,direct_measurement,8.570002484644138e-07
2.206926763378927e-07,1.942095551773456,1.2961824879324105e-07,4.07066790116087e-07,6.0,2.4505604587131703e-15,fallback_fitting,4.07066790116087e-07
2.573087695772685e-07,2.2643171722799624,1.1570010901575045e-07,4.191220277054032e-07,3.6224860224491873,1.2431242386911372e-15,fallback_fitting,4.191220277054032e-07
3.000000000000001e-07,2.640000000000001,1.233507212760506e-07,4.2946190633763497e-07,3.6224860224491873,0.0,fallback_fitting,4.2946190633763497e-07
3.497743203539495e-07,3.0780140191147556,1.3268649853273328e-07,4.628761933671147e-07,3.6224860224491873,1.08398074805783e-15,fallback_fitting,4.628761933671147e-07
4.078069172635574e-07,3.588700871919305,1.315861671985848e-07,4.77187966589972e-07,3.6264295613217326,0.0,fallback_fitting,4.77187966589972e-07
4.7546795773833444e-07,4.184118028097343,1.3065765874141078e-07,4.893039889704407e-07,3.744931553831372,1.896703067547373e-15,fallback_fitting,4.893039889704407e-07
5.543549392266875e-07,4.87832346519485,1.2986276469147261e-07,5.033927590558755e-07,3.876344079473695,0.0,fallback_fitting,5.033927590558755e-07
6.463304070095649e-07,5.687707581684172,1.2916526171992461e-07,5.184419834483833e-07,4.0137880459882975,2.0563594950090007e-15,fallback_fitting,5.184419834483833e-07
7.535659294528749e-07,6.631380179185299,1.286003364314699e-07,5.367066166918728e-07,6.0,5.599723067798968e-10,direct_measurement,7.716020185888195e-07
8.785933693875715e-07,7.731621650610629,1.2783073568599189e-07,5.539479557100359e-07,6.0,1.863620788356128e-15,direct_measurement,7.669844141159513e-07
1.0243646621500807e-06,9.01440902692071,1.2790245299271142e-07,5.772167305576462e-07,6.0,0.0,direct_measurement,7.674147179562685e-07
1.1943215116604912e-06,10.510029302612322,1.30094211092936e-07,6.008422098601045e-07,6.0,0.0,direct_measurement,7.80565266557616e-07
1.392476650083835e-06,12.253794520737747,1.3074973256717528e-07,6.294409978122666e-07,6.0,0.0,direct_measurement,7.844983954030517e-07
1.6235085796393918e-06,14.286875500826648,1.3111110614751984e-07,6.5959283570675e-07,6.0,2.422657885770352e-15,direct_measurement,7.866666368851191e-07
1.8928720334405795e-06,16.6572738942771,1.3113558863878053e-07,6.873958927216584e-07,6.0,2.422205585207769e-15,direct_measurement,7.868135318326832e-07
2.206926763378927e-06,19.42095551773456,1.3026315457668354e-07,1.6268039664201869e-07,6.0,2.438428243601112e-15,fallback_fitting,1.6268039664201869e-07
2.5730876957726845e-06,22.643171722799625,1.2969890417795426e-07,7.396507803607778e-07,5.0,3.571511617354375e-15,fallback_fitting,7.396507803607778e-07
3.0000000000000013e-06,26.400000000000013,1.2957589434741242e-07,7.551993886398729e-07,5.0,4.085602454840471e-15,fallback_fitting,7.551993886398729e-07
3.821564574585352e-06,33.6297682563511,1.294408944509244e-07,9.364743883753364e-07,5.0,4.601096458461058e-15,fallback_fitting,9.364743883753364e-07
4.868118599241915e-06,42.83944367332886,1.6070608665514846e-07,1.6070608663330626e-07,3.5,2.017688358105501e-15,fallback_fitting,1.6070608663330626e-07
6.201276527914321e-06,54.57123344564602,1.6070608665514846e-07,1.6070608663330626e-07,3.5,2.017688358105501e-15,fallback_fitting,1.6070608663330626e-07
7.899526232095004e-06,69.51583084243603,1.6070608665514846e-07,1.6070608663330626e-07,5.0,1.5651859197530424e-09,direct_measurement,8.035304332757423e-07
1.0062849868194006e-05,88.55307884010725,1.6070608665514846e-07,1.6070608663330626e-07,5.0,1.5651859197530424e-09,direct_measurement,8.035304332757423e-07
1.2818610191887024e-05,112.80376968860584,1.6070608665514846e-07,1.6070608663330626e-07,5.0,2.8824119401507157e-15,direct_measurement,8.035304332757423e-07
1.6329048868244726e-05,143.6956300405536,1.6070608665514846e-07,1.6070608663330626e-07,5.0,2.8824119401507157e-15,direct_measurement,8.035304332757423e-07
2.080083823051906e-05,183.04737642856773,1.6070608665514846e-07,0.0083203352922076,5.0,3.140635304976468e-14,fallback_fitting,0.0083203352922076
2.649724883447742e-05,233.1757897434013,1.6070608665514846e-07,0.0105988995337909,5.0,2.4719151547554756e-14,fallback_fitting,0.0105988995337909
3.375364915660396e-05,297.03211257811483,1.6070608665514846e-07,0.0135014596626415,5.0,1.9486976086420756e-14,fallback_fitting,0.0135014596626415
4.299724995995346e-05,378.3757996475904,2.333202289217412e-07,1.6070608663330626e-07,5.0,1.619157848019655e-09,fallback_fitting,1.6070608663330626e-07
5.477225575051662e-05,481.99585060454626,3.1343712448154546e-07,0.0219089023002066,5.0,1.1944202753296328e-14,fallback_fitting,0.0219089023002066
6.977190408210102e-05,613.992755922489,1.6070608665514846e-07,1.6070608663330626e-07,5.0,1.6191578480202085e-09,fallback_fitting,1.6070608663330626e-07
8.887927898050809e-05,782.1376550284712,1.6070608665514846e-07,1.6070608663330626e-07,4.0,1.2953262784161668e-09,fallback_fitting,1.6070608663330626e-07
0.0001132193013221,996.3298516353564,1.6070608665514846e-07,1.6070608663330626e-07,4.0,1.2953262784161668e-09,fallback_fitting,1.6070608663330626e-07
0.0001442249570307,1269.1796218705188,1.6070608665514846e-07,0.05,5.0,5.9490913958073395e-15,fallback_fitting,0.05
0.0001837216621865,1616.750627242003,1.6070608665514846e-07,0.05,5.0,5.9490913958073395e-15,fallback_fitting,0.05
0.000234034731932,2059.5056410022303,1.6070608665514846e-07,0.05,5.0,5.9490913958073395e-15,fallback_fitting,0.05
0.000298126280258,2623.5112662709394,1.6070608665514846e-07,1.6070608663330626e-07,5.0,1.6191578480202085e-09,fallback_fitting,1.6070608663330626e-07
0.0003797696104623,3341.972572068862,1.6070608665514846e-07,1.6070608663330626e-07,4.0,1.2953262784161668e-09,fallback_fitting,1.6070608663330626e-07
0.0004837713632823,4257.187996884754,1.6070608665514846e-07,1.6070608663330626e-07,4.0,1.2953262784161668e-09,fallback_fitting,1.6070608663330626e-07
0.0006162545013729,5423.039612081582,1.6070608665514846e-07,0.05,5.0,5.9490913958073395e-15,fallback_fitting,0.05
0.0007850187904584,6908.165356034691,1.6070608665514846e-07,0.05,5.0,5.9490913958073395e-15,fallback_fitting,0.05
0.001,8800.0,1.6070608665514846e-07,1.6070608663330626e-07,5.0,1.6191578480202085e-09,fallback_fitting,1.6070608663330626e-07
