tau_c,T2_echo,T2_echo_lower,T2_echo_upper,R2_echo,xi
3.0000000000000012e-09,5.853029697162368e-06,4.999999999999998e-05,5.000000000000006e-05,0.948924436019544,0.02640000000000001
3.409390999157174e-09,5.463636000723334e-06,4.999999999999998e-05,5.000000000000006e-05,0.929082199245271,0.03000264079258313
3.874648995044649e-09,4.846177143913023e-06,4.999999999999998e-05,5.000000000000006e-05,0.9260072032716256,0.03409691115639291
4.403397802866204e-09,4.269285797103657e-06,4.999999999999998e-05,5.000000000000006e-05,0.9259654636476573,0.038749900665222596
5.004301611600169e-09,4.538850135661266e-06,4.999999999999998e-05,5.000000000000006e-05,0.8266762548742222,0.04403785418208149
5.687206957219141e-09,3.997734886704057e-06,4.999999999999998e-05,5.000000000000006e-05,0.8269273921992119,0.05004742122352844
6.463304070095662e-09,3.5217100257057156e-06,4.999999999999998e-05,5.000000000000006e-05,0.827361879403237,0.05687707581684183
7.345310240466691e-09,3.1032609254640225e-06,4.999999999999998e-05,5.000000000000006e-05,0.827637413056946,0.06463873011610688
8.34767820662138e-09,2.733967265767498e-06,4.999999999999998e-05,5.000000000000006e-05,0.8284131715042224,0.07345956821826814
9.486832980505142e-09,2.4133631932848147e-06,4.999999999999998e-05,5.000000000000006e-05,0.829266917022939,0.08348413022844525
1.078144099141388e-08,2.1294859552843893e-06,4.999999999999998e-05,5.000000000000006e-05,0.8301583477074558,0.09487668072444215
1.2252715958023556e-08,1.882834703765123e-06,4.999999999999998e-05,5.000000000000006e-05,0.831526296762225,0.1078239004306073
1.3924766500838351e-08,1.6653583471891621e-06,4.999999999999998e-05,5.000000000000006e-05,0.8331921955625988,0.1225379452073775
1.5824991191107866e-08,1.4768649118093108e-06,4.999999999999998e-05,5.000000000000006e-05,0.8351790631051283,0.13925992248174923
1.798452750956823e-08,5.98589290943194e-07,5.3953582528704666e-05,5.395358252870472e-05,0.9903506980297719,0.15826384208420044
2.0438762071738832e-08,5.593408981593452e-07,6.13162862152165e-05,6.13162862152165e-05,0.9912471171628116,0.17986110623130172
2.322791048043384e-08,4.981349546931243e-07,6.968373144130153e-05,6.968373144130159e-05,0.9899530200510407,0.2044056122278178
2.639767630707323e-08,4.464904527883265e-07,7.919302892121969e-05,7.91930289212198e-05,0.9911772178098822,0.23229955150224443
3.000000000000001e-08,4.0835370168532605e-07,8.999999999999998e-05,9.000000000000009e-05,0.993990087111074,0.26400000000000007
3.4977432035394954e-08,3.754233741934454e-07,6.995486407078986e-05,6.995486407078991e-05,0.9969010526959605,0.3078014019114756
4.078069172635582e-08,3.6516485068359554e-07,8.156138345271157e-05,8.156138345271168e-05,0.9987652839524888,0.35887008719193125
4.754679577383345e-08,3.614366013849895e-07,9.50935915476668e-05,9.509359154766691e-05,0.9989122439017162,0.4184118028097344
5.543549392266874e-08,3.6049339814094386e-07,0.00011087098784533745,0.00011087098784533761,0.9990278842091278,0.4878323465194849
6.46330407009565e-08,3.6035498144780227e-07,0.00012926608140191297,0.00012926608140191307,0.9979599038059571,0.5687707581684172
7.535659294528749e-08,3.5961363692620187e-07,0.00015071318589057482,0.00015071318589057503,0.9977924086053325,0.6631380179185299
8.785933693875717e-08,3.604426808150722e-07,0.0001757186738775143,0.0001757186738775143,0.9968298197407627,0.7731621650610632
1.0243646621500809e-07,3.6387680583476617e-07,0.00020487293243001597,0.0002048729324300162,0.9952403287784892,0.9014409026920712
1.1943215116604913e-07,3.684209086504618e-07,0.00023886430233209825,0.00023886430233209825,0.9929902049221124,1.0510029302612325
1.3924766500838354e-07,3.7452870934032273e-07,0.00027849533001676703,0.00027849533001676703,0.9905001466140214,1.225379452073775
1.623508579639392e-07,3.8290621593324853e-07,0.000324701715927878,0.00032470171592787844,0.9876516587491851,1.428687550082665
1.8928720334405797e-07,3.9254588526534594e-07,0.00037857440668811587,0.0003785744066881161,0.9864693927416822,1.66572738942771
2.206926763378927e-07,4.0333399425203585e-07,0.0004413853526757851,0.0004413853526757855,0.985750914723922,1.942095551773456
2.573087695772685e-07,4.1399517168549247e-07,0.0005146175391545368,0.0005146175391545372,0.9856829336421447,2.264317172279963
3.000000000000001e-07,4.23911983300471e-07,0.0005509641873278234,0.0005509641873278239,0.984895975438971,2.640000000000001
3.497743203539495e-07,4.522981173880879e-07,0.0013990972814157978,0.0013990972814157995,0.9844559825774363,3.0780140191147556
4.078069172635574e-07,4.6662604073430226e-07,0.00163122766905423,0.00163122766905423,0.9847129448060303,3.588700871919305
4.7546795773833444e-07,4.83847720096008e-07,0.0019018718309533372,0.0019018718309533381,0.9842261650551809,4.184118028097343
5.543549392266875e-07,4.999188482257165e-07,0.0022174197569067495,0.0022174197569067512,0.9855451686037734,4.87832346519485
6.463304070095649e-07,5.165938134783495e-07,0.0025853216280382592,0.0025853216280382627,0.9878111752375548,5.687707581684172
7.535659294528749e-07,5.355092264237784e-07,0.0030142637178115004,0.0030142637178115004,0.9893734118653618,6.631380179185299
8.785933693875715e-07,5.56497541152808e-07,0.003514373477550284,0.0035143734775502874,0.990642686437972,7.731621650610629
1.0243646621500807e-06,5.818685338571879e-07,0.004097458648600322,0.004097458648600325,0.9907585641687776,9.01440902692071
1.1943215116604912e-06,6.067165964512108e-07,0.004777286046641963,0.004777286046641967,0.9894197231850631,10.510029302612322
1.392476650083835e-06,6.344964514186351e-07,0.005569906600335339,0.0055699066003353425,0.9858678694691726,12.253794520737749
1.6235085796393918e-06,6.650142065528931e-07,0.006494034318557561,0.006494034318557571,0.9816454422117417,14.286875500826648
1.8928720334405795e-06,6.937484628180631e-07,0.006818181818181805,0.006818181818181815,0.9744724415705329,16.6572738942771
2.206926763378927e-06,1.6268039664201869e-07,0.006818181818181805,0.006818181818181815,,19.42095551773456
2.5730876957726845e-06,7.595068127157964e-07,0.010909090909090901,0.010909090909090908,0.9339669138317322,22.643171722799625
3.0000000000000013e-06,7.777125357792153e-07,0.010909090909090901,0.010909090909090908,0.9382413275263015,26.400000000000013
3.821564574585352e-06,9.676321624794334e-07,0.012229006638673125,0.012229006638673132,0.15883582343942715,33.6297682563511
4.868118599241915e-06,8.45730320407664e-07,0.015577979517574132,0.015577979517574152,0.9194903353947013,42.83944367332886
6.201276527914321e-06,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,54.57123344564602
7.899526232095004e-06,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,69.51583084243603
1.0062849868194006e-05,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,88.55307884010725
1.2818610191887024e-05,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,112.80376968860581
1.6329048868244726e-05,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,143.6956300405536
2.080083823051906e-05,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,183.04737642856773
2.649724883447742e-05,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,233.1757897434013
3.375364915660396e-05,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,297.03211257811483
4.299724995995346e-05,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,378.37579964759044
5.477225575051662e-05,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,481.99585060454626
6.977190408210102e-05,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,613.992755922489
8.887927898050809e-05,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,782.1376550284712
0.0001132193013221,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,996.3298516344801
0.0001442249570307,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,1269.17962187016
0.0001837216621865,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,1616.7506272412
0.000234034731932,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,2059.5056410016
0.000298126280258,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,2623.5112662704
0.0003797696104623,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,3341.97257206824
0.0004837713632823,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,4257.1879968842395
0.0006162545013729,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,5423.03961208152
0.0007850187904584,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,6908.16535603392
0.001,3.214121732666125e-07,2.8927095593995126e-07,3.535533905932738e-07,,8800.0
